Feature,Cluster_A,Cluster_B,N_A,N_B,Median_A,Median_B,U_Statistic,Raw_P_Value,Rank_Biserial,Abs_Rank_Biserial,Holm_Adjusted_P,Significant_Holm
MntWines,0,4,635,20,516.0,34.0,10848.5,6.726989996610277e-08,0.7084251968503936,0.7084251968503936,4.7088929976271945e-07,True
MntWines,1,2,390,1162,489.5,27.0,434230.0,6.58980837486282e-162,0.9163687717904585,0.9163687717904585,5.930827537376538e-161,True
MntWines,1,3,390,30,489.5,1044.5,3097.0,1.7373455104093962e-05,-0.4705982905982906,0.4705982905982906,6.949382041637585e-05,True
MntWines,1,4,390,20,489.5,34.0,6578.5,2.203893925654679e-07,0.6867948717948718,0.6867948717948718,1.3223363553928074e-06,True
MntWines,2,3,1162,30,27.0,1044.5,1712.5,3.0737761472641326e-17,-0.9017498565691336,0.9017498565691336,2.459020917811306e-16,True
MntWines,2,4,1162,20,27.0,34.0,8827.0,0.06501377692131662,-0.24036144578313257,0.24036144578313257,0.13002755384263323,False
MntWines,3,4,30,20,1044.5,34.0,542.0,1.7261071525006145e-06,0.8066666666666666,0.8066666666666666,8.630535762503073e-06,True
MntMeatProducts,0,1,635,390,384.0,116.5,209919.5,4.106279399740426e-78,0.6952917423783564,0.6952917423783564,3.2850235197923407e-77,True
MntMeatProducts,0,2,635,1162,384.0,17.0,726743.5,7.394757168441961e-254,0.9698415710084431,0.9698415710084431,7.394757168441962e-253,True
MntMeatProducts,0,3,635,30,384.0,136.5,13756.0,3.882897091321774e-05,0.44419947506561686,0.44419947506561686,0.0001941448545660887,True
MntMeatProducts,0,4,635,20,384.0,32.5,11115.0,1.0768164334668528e-08,0.7503937007874015,0.7503937007874015,6.460898600801117e-08,True
MntMeatProducts,1,2,390,1162,116.5,17.0,402822.0,3.2839690650879304e-117,0.7777571825764598,0.7777571825764598,2.955572158579137e-116,True
MntMeatProducts,1,3,390,30,116.5,136.5,4652.0,0.06160301914137638,-0.20478632478632475,0.20478632478632475,0.06160301914137638,False
MntMeatProducts,1,4,390,20,116.5,32.5,5226.5,0.010301829487006173,0.3401282051282051,0.3401282051282051,0.03893418288057795,True
MntMeatProducts,2,3,1162,30,17.0,136.5,4067.5,6.989252884347706e-13,-0.7666379804934021,0.7666379804934021,4.892477019043394e-12,True
MntMeatProducts,2,4,1162,20,17.0,32.5,8059.0,0.01862282279507735,-0.3064543889845095,0.3064543889845095,0.03893418288057795,True
MntMeatProducts,3,4,30,20,136.5,32.5,431.0,0.009733545720144487,0.43666666666666676,0.43666666666666676,0.03893418288057795,True
MntGoldProds,0,1,635,390,54.0,40.5,144943.0,4.443396659857202e-06,0.1705471431455683,0.1705471431455683,2.666037995914321e-05,True
MntGoldProds,0,2,635,1162,54.0,12.0,625202.5,2.9646083163220674e-131,0.6946142274384377,0.6946142274384377,2.9646083163220675e-130,True
MntGoldProds,0,3,635,30,54.0,46.0,10220.5,0.4990673039337733,0.07301837270341216,0.07301837270341216,1.0,False
MntGoldProds,0,4,635,20,54.0,13.5,10334.5,1.7380037818496062e-06,0.6274803149606298,0.6274803149606298,1.2166026472947244e-05,True
MntGoldProds,1,2,390,1162,40.5,12.0,350233.0,1.1284682839118352e-58,0.5456683878370625,0.5456683878370625,1.0156214555206518e-57,True
MntGoldProds,1,3,390,30,40.5,46.0,5264.0,0.3607502273064297,-0.10017094017094019,0.10017094017094019,1.0,False
MntGoldProds,1,4,390,20,40.5,13.5,5733.0,0.0003915590292832851,0.47,0.47,0.0019577951464164254,True
MntGoldProds,2,3,1162,30,12.0,46.0,6229.5,1.7484854021594598e-09,-0.6425989672977626,0.6425989672977626,1.3987883217275679e-08,True
MntGoldProds,2,4,1162,20,12.0,13.5,10520.5,0.46753421140040186,-0.09462134251290877,0.09462134251290877,1.0,False
MntGoldProds,3,4,30,20,46.0,13.5,472.0,0.000679206077104429,0.5733333333333333,0.5733333333333333,0.002716824308417716,True
NumWebPurchases,0,1,635,390,5.0,6.0,101503.5,1.0073116122379875e-06,-0.18026650514839493,0.18026650514839493,7.051181285665913e-06,True
NumWebPurchases,0,2,635,1162,5.0,2.0,627753.0,9.650549312061445e-137,0.701527369319799,0.701527369319799,9.650549312061444e-136,True
NumWebPurchases,0,3,635,30,5.0,5.0,11004.5,0.1466442683301777,0.15532808398950126,0.15532808398950126,0.24688749404160604,False
NumWebPurchases,0,4,635,20,5.0,3.0,9205.0,0.000547523622067435,0.4496062992125984,0.4496062992125984,0.002737618110337175,True
NumWebPurchases,1,2,390,1162,6.0,2.0,403848.0,1.2314840261114524e-121,0.7822851846948233,0.7822851846948233,1.1083356235003072e-120,True
NumWebPurchases,1,3,390,30,6.0,5.0,7658.5,0.004468542575355342,0.3091452991452992,0.3091452991452992,0.01787417030142137,True
NumWebPurchases,1,4,390,20,6.0,3.0,6003.5,4.162378346278658e-05,0.5393589743589744,0.5393589743589744,0.0002497427007767195,True
NumWebPurchases,2,3,1162,30,2.0,5.0,8153.5,3.2200873748110924e-07,-0.5322145725760183,0.5322145725760183,2.576069899848874e-06,True
NumWebPurchases,2,4,1162,20,2.0,3.0,9057.0,0.08229583134720202,-0.22056798623063678,0.22056798623063678,0.24688749404160604,False
NumWebPurchases,3,4,30,20,5.0,3.0,387.0,0.08349654593248214,0.29000000000000004,0.29000000000000004,0.24688749404160604,False
